State,City,Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Battery_Pack Kwh,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,Body Style,Segment,Seats,PriceEuro,Color,Model Year,Electric Vehicle type,Model date
Texas,El Paso,Tesla,Model 3 Long Range Dual Motor,4.6,233,460,70,161,940,Yes,AWD,Type 2 CCS,Sedan,D,5,55480,Gray,2022,Hybrid,2016-03-05
Colorado,Aurora,Volkswagen,ID.3 Pure,10,160,270,45,167,250,Yes,RWD,Type 2 CCS,Hatchback,C,5,30000,White,2015,Hybrid,2022-12-29
Missouri,Saint Louis,Polestar,2,4.7,210,400,75,181,620,Yes,AWD,Type 2 CCS,Liftback,D,5,56440,Black,2012,Battery,2017-03-15
Connecticut,Norwalk,BMW,iX3,6.8,180,360,74,206,560,Yes,RWD,Type 2 CCS,SUV,D,5,68040,Blue,2012,Hybrid,2019-12-18
Pennsylvania,Harrisburg,Honda,e,9.5,145,170,28.5,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,32997,Silver,2018,Plug-in hybrid,2014-10-02
Florida,Miami,Lucid,Air,2.8,250,610,110,180,620,Yes,AWD,Type 2 CCS,Sedan,F,5,105000,Gold,2015,Plug-in hybrid,2015-06-28
Oklahoma,Oklahoma City,Volkswagen,e-Golf,9.6,150,190,35.8,168,220,Yes,FWD,Type 2 CCS,Hatchback,C,5,31900,Silver,2016,Battery,2019-02-25
District of Columbia,Washington,Peugeot,e-208,8.1,150,275,45,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,29682,Gray,2019,Hybrid,2022-08-04
Illinois,Carol Stream,Tesla,Model 3 Standard Range Plus,5.6,225,310,50,153,650,Yes,RWD,Type 2 CCS,Sedan,D,5,46380,Black,2021,Plug-in hybrid,2019-12-23
New York,New York City,Audi,Q4 e-tron,6.3,180,400,77,193,540,Yes,AWD,Type 2 CCS,SUV,D,5,55000,Gray,2022,Plug-in hybrid,2015-05-25
Florida,Port Charlotte,Mercedes,EQC 400 4MATIC,5.1,180,370,80,216,440,Yes,AWD,Type 2 CCS,SUV,D,5,69484,White,2012,Plug-in hybrid,2021-03-07
Connecticut,New Haven,Nissan,Leaf,7.9,144,220,36,164,230,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,29234,Blue,2019,Battery,2014-06-28
California,San Bernardino,Hyundai,Kona Electric 64 kWh,7.9,167,400,64,160,380,Yes,FWD,Type 2 CCS,SUV,B,5,40795,Blue,2012,Hybrid,2015-10-23
Texas,Houston,BMW,i4,4,200,450,80,178,650,Yes,RWD,Type 2 CCS,Sedan,D,5,65000,Blue,2018,Battery,2015-06-13
New Jersey,Jersey City,Hyundai,IONIQ Electric,9.7,165,250,38.3,153,210,Yes,FWD,Type 2 CCS,Liftback,C,5,34459,White,2021,Plug-in hybrid,2013-12-22
Virginia,Falls Church,Volkswagen,ID.3 Pro S,7.9,160,440,77,175,590,Yes,RWD,Type 2 CCS,Hatchback,C,4,40936,Gold,2011,Plug-in hybrid,2022-06-06
Virginia,Richmond,Porsche,Taycan Turbo S,2.8,260,375,83.7,223,780,Yes,AWD,Type 2 CCS,Sedan,F,4,180781,Gold,2010,Hybrid,2018-12-27
Tennessee,Memphis,Volkswagen,e-Up!,11.9,130,195,36.8,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,21421,Blue,2017,Battery,2021-01-27
California,North Hollywood,MG,ZS EV,8.2,140,220,42.5,193,260,Yes,FWD,Type 2 CCS,SUV,B,5,30000,Gold,2022,Hybrid,2020-01-05
New Mexico,Santa Fe,Mini,Cooper SE,7.3,150,185,28.9,156,260,Yes,FWD,Type 2 CCS,Hatchback,B,4,31681,White,2013,Battery,2021-02-04
Minnesota,Loretto,Opel,Corsa-e,8.1,150,275,45,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,29146,Gold,2022,Plug-in hybrid,2010-02-23
Florida,Port Charlotte,Tesla,Model Y Long Range Dual Motor,5.1,217,425,72.5,171,930,Yes,AWD,Type 2 CCS,SUV,D,7,58620,Green,2021,Hybrid,2018-02-05
Pennsylvania,Philadelphia,Skoda,Enyaq iV 50,10,160,290,52,179,230,Yes,RWD,Type 2 CCS,SUV,C,5,35000,Green,2010,Hybrid,2015-09-29
Tennessee,Nashville,Audi,e-tron GT,3.5,240,425,85,197,850,Yes,AWD,Type 2 CCS,Sedan,F,4,125000,Blue,2017,Hybrid,2010-01-15
California,Santa Ana,Tesla,Model 3 Long Range Performance,3.4,261,435,70,167,910,Yes,AWD,Type 2 CCS,Sedan,D,5,61480,Black,2016,Plug-in hybrid,2011-03-06
Illinois,Springfield,Volkswagen,ID.4,7.5,160,420,77,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,45000,White,2020,Hybrid,2022-05-30
